1 1.4422495703074083 [5. 0. 0.]
1 1.4422495703074083 [4.99964 0.05    0.     ]
1 1.4422495703074083 [4.99856004 0.0999946  0.        ]
1 1.4422495703074083 [4.99676031 0.149973   0.        ]
1 1.4422495703074083 [4.99424114 0.19992441 0.        ]
1 1.4422495703074083 [4.99100306 0.24983803 0.        ]
1 1.4422495703074083 [4.98704678 0.2997031  0.        ]
1 1.4422495703074083 [4.98237317 0.34950884 0.        ]
1 1.4422495703074083 [4.97698328 0.3992445  0.        ]
1 1.4422495703074083 [4.97087832 0.44889937 0.        ]
1 1.4422495703074083 [4.96405971 0.49846272 0.        ]
1 1.4422495703074083 [4.956529   0.54792389 0.        ]
1 1.4422495703074083 [4.94828795 0.59727222 0.        ]
1 1.4422495703074083 [4.93933847 0.64649709 0.        ]
1 1.4422495703074083 [4.92968265 0.69558793 0.        ]
1 1.4422495703074083 [4.91932274 0.74453418 0.        ]
1 1.4422495703074083 [4.90826117 0.79332536 0.        ]
1 1.4422495703074083 [4.89650055 0.84195099 0.        ]
1 1.4422495703074083 [4.88404364 0.89040068 0.        ]
1 1.4422495703074083 [4.87089337 0.93866407 0.        ]
1 1.4422495703074083 [4.85705284 0.98673085 0.        ]
1 1.4422495703074083 [4.84252533 1.03459079 0.        ]
1 1.4422495703074083 [4.82731424 1.08223369 0.        ]
1 1.4422495703074083 [4.81142319 1.12964944 0.        ]
1 1.4422495703074083 [4.79485592 1.17682797 0.        ]
1 1.4422495703074083 [4.77761634 1.22375931 0.        ]
1 1.4422495703074083 [4.75970854 1.27043354 0.        ]
1 1.4422495703074083 [4.74113672 1.31684083 0.        ]
1 1.4422495703074083 [4.72190529 1.3629714  0.        ]
1 1.4422495703074083 [4.70201878 1.40881559 0.        ]
1 1.4422495703074083 [4.68148187 1.45436378 0.        ]
1 1.4422495703074083 [4.66029941 1.49960648 0.        ]
1 1.4422495703074083 [4.63847639 1.54453426 0.        ]
1 1.4422495703074083 [4.61601794 1.58913779 0.        ]
1 1.4422495703074083 [4.59292935 1.63340782 0.        ]
1 1.4422495703074083 [4.56921603 1.67733523 0.        ]
1 1.4422495703074083 [4.54488356 1.72091095 0.        ]
1 1.4422495703074083 [4.51993762 1.76412605 0.        ]
1 1.4422495703074083 [4.49438407 1.8069717  0.        ]
1 1.4422495703074083 [4.46822888 1.84943915 0.        ]
1 1.4422495703074083 [4.44147815 1.89151979 0.        ]
1 1.4422495703074083 [4.41413813 1.93320509 0.        ]
1 1.4422495703074083 [4.38621516 1.97448665 0.        ]
1 1.4422495703074083 [4.35771575 2.01535619 0.        ]
1 1.4422495703074083 [4.32864651 2.05580553 0.        ]
1 1.4422495703074083 [4.29901416 2.09582662 0.        ]
1 1.4422495703074083 [4.26882557 2.13541152 0.        ]
1 1.4422495703074083 [4.23808769 2.17455242 0.        ]
